close,high,low,open,volume,timestamp,volume_weighted_average_price,number_of_trades,ticker
315.25,315.78,303,305.74,1568319.0,1709269200000,312.8247,44476,CDNS
43.0929,43.59,42.0375,43.59,2346217.0,1709269200000,42.8102,39161,CZR
95.8,95.87,93.03,94.48,762365,1709269200000,95.2055,14660,CPT
42.65,42.91,42.46,42.88,2243177.0,1709269200000,42.7105,27326,CPB
136.77,138,135.94,138,2010439.0,1709269200000,136.7812,41733,COF
114.99,115,112.26,112.43,2624561.0,1709269200000,113.243,54477,CAH
79.3,79.7741,76.92,79.7741,1082331.0,1709269200000,78.8842,21903,KMX
16.04,16.11,15.65,15.96,21363724.0,1709269200000,15.9324,89895,CCL
56.46,56.53,54.67,55.9,4582690.0,1709269200000,56.0629,42616,CARR
57.0001,57.73,56.02,57.65,2153818.0,1709269200000,57.3203,21293,CTLT
336.7,337.77,333.1,334.26,1375519.0,1709269200000,336.2097,40979,CAT
186.73,192.7,186.73,192.33,877840,1709269200000,188.9994,18238,CBOE
92.98,93.255,90.97,91.89,1282135.0,1709269200000,92.5701,22989,CBRE
238.498,248.86,238.498,248,566466,1709269200000,247.6977,18596,CDW
153.46,153.545,151.28,152,506587,1709269200000,152.8531,14385,CE
237.03,238.605,235.325,236.76,970823,1709269200000,237.4477,26737,COR
77.98,78.43,76.5701,78.06,2256593.0,1709269200000,77.4234,37187,CNC
27.44,27.495,27.055,27.46,2618485.0,1709269200000,27.3512,26528,CNP
82.5,82.84,80.72,80.99,2395730.0,1709269200000,82.179,40985,CF
73.88,74.65,72.642,74.65,1127958.0,1709269200000,73.4206,23314,CHRW
264.38,265.795,250.73,254.15,730561,1709269200000,263.0599,20445,CRL
66.44,66.915,65.7,66.77,6970467.0,1709269200000,66.3255,63998,SCHW
292,296.33,289.82,293,1253387.0,1709269200000,293.2833,29511,CHTR
152.84,154.3499,152.25,152.83,6579146.0,1709269200000,153.2248,112194,CVX
2688.78,2704.99,2679.95,2699.45,115041,1709269200000,2690.8971,7215,CMG
250.62,251.975,249.9,251.25,1199360.0,1709269200000,250.7415,27869,CB
100.28,101,99.12,100.88,697982,1709269200000,100.0181,15961,CHD
332.96,336,330.71,334.9999,1159509.0,1709269200000,332.3763,30523,CI
113.54,114.16,113.13,114,418843,1709269200000,113.6143,13297,CINF
628.36,630.625,618,621.33,192223,1709269200000,627.7388,8170,CTAS
48.2,48.5,47.66,48.37,14331014.0,1709269200000,48.1168,113873,CSCO
55.41,55.95,55.07,55.31,11279052.0,1709269200000,55.5113,85715,C
31.7,31.825,30.54,31.06,4353363.0,1709269200000,31.4697,46597,CFG
152.08,153.3,150.355,152.9,1005302.0,1709269200000,151.9621,24176,CLX
219.21,221.76,217.91,220.25,1174142.0,1709269200000,219.0214,22896,CME
58.14,58.205,56.75,57.37,3635691.0,1709269200000,57.6821,37082,CMS
59.56,60.15,59.34,60.13,9090017.0,1709269200000,59.6069,132855,KO
78.75,79.95,78.53,79.01,2293289.0,1709269200000,78.7489,31416,CTSH
85.63,86.69,85.63,86.51,1873020.0,1709269200000,86.3164,35347,CL
42.6,43.07,42.17,42.68,12604170.0,1709269200000,42.8399,106704,CMCSA
49.51,49.77,47.635,48.95,2580734.0,1709269200000,49.1786,34186,CMA
27.78,28.15,27.76,28.15,2931551.0,1709269200000,27.847,37330,CAG
114.11,115.5287,112.96,113,4478856.0,1709269200000,114.6688,69766,COP
87.01,87.3,85.85,87.3,1221368.0,1709269200000,86.6827,24325,ED
250,250.2,246.11,247.75,1343223.0,1709269200000,248.1848,23525,STZ
171.49,171.8,165.05,168.01,3787772.0,1709269200000,167.7937,64208,CEG
102.19,105.5,97.3001,98.1,2601894.0,1709269200000,101.2151,40237,COO
53.52,53.7,52.67,53.31,3491552.0,1709269200000,53.3225,42122,CPRT
32.45,32.62,32.08,32.29,3264726.0,1709269200000,32.4392,33889,GLW
53.66,54.3402,53.49,53.54,3313407.0,1709269200000,54.027,48618,CTVA
88.38,88.47,86.085,87,1545741.0,1709269200000,87.9603,29456,CSGP
752,752,739.25,748.1,1347548.0,1709269200000,746.9283,65851,COST
26.1,26.195,25.86,25.9,5211212.0,1709269200000,26.012,39728,CTRA
111.29,111.29,108.09,110,2196352.0,1709269200000,110.3244,30829,CCI
38,38.25,37.63,37.89,6680433.0,1709269200000,38.0442,56450,CSX
270.26,272.74,267.69,270.63,1591425.0,1709269200000,270.4914,34724,CMI
